"","Aug","Dec","Jul","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","gust","prcp","fog"
"173",0,1,0,0,0,0,1,0,0,0,0,0,0,2012,41.4,23.2,648,1024.4,10,25.1,0,0
"174",0,1,0,0,0,0,1,0,0,0,0,0,0,2012,38.8,30.9,714,1022.7,7.9,999.9,0,0
"175",0,1,0,0,0,0,0,0,1,0,0,0,0,2012,32.5,26.2,442,1013.1,7.8,28,0,1
"176",0,1,0,0,0,0,0,0,1,0,0,0,0,2012,37.4,25,542,998.4,10,32.1,0.7,0
"177",0,1,0,0,0,0,0,0,1,0,0,0,0,2012,42.6,27.1,523,1024.5,9.9,19,0,0
"178",0,1,0,0,0,0,0,0,1,0,0,0,0,2012,47.3,46,580,1013.7,3.7,22,0.32,1
"179",0,1,0,0,0,0,0,0,1,0,0,0,0,2012,38.5,32.1,480,1031.4,9.3,22,0,0
"180",0,1,0,0,0,0,0,0,0,1,0,0,0,2012,37.8,20.5,408,1011.5,10,32.1,0.01,0
"181",0,1,0,0,0,0,0,0,0,1,0,0,0,2012,32.4,21.1,411,1011.1,8.8,49.9,1.9,0
"182",0,1,0,0,0,0,0,0,0,1,0,0,0,2012,44.3,41,455,1026.9,3.9,999.9,0.08,1
"183",0,1,0,0,0,0,0,0,0,1,0,0,0,2012,46.2,41.7,544,1020.7,7.2,21,0.25,0
"184",0,1,0,0,0,0,0,0,0,1,0,0,0,2012,44.5,37.8,500,1019.8,7.5,27,0,0
